TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2006,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.23434,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.21468,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,82.08576,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.46232,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.33608,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,77.72565,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.80537,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.44691,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.61851,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,77.90123,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,82.31068,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.18304,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.83725,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.30939,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.77567,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.63221,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.58097,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
