TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1928955,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.09490652,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2499023,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1905983,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05227112,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2348818,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1724580,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04457172,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2488537,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1908631,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2003-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
