TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2010,YYYY,ANNUAL_PPD_MEDIAN,0.7931796,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2010-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2010,YYYY,ANNUAL_PPD_MEDIAN,0.7879495,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2010-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2010,YYYY,ANNUAL_PPD_MEDIAN,0.8142386,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2010-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2011,YYYY,ANNUAL_PPD_MEDIAN,0.7631934,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2011-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2011,YYYY,ANNUAL_PPD_MEDIAN,0.6473151,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2011-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2011,YYYY,ANNUAL_PPD_MEDIAN,0.6751077,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2011-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2011,YYYY,ANNUAL_PPD_MEDIAN,0.8673148,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2011-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2012,YYYY,ANNUAL_PPD_MEDIAN,0.8689637,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2012-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2012,YYYY,ANNUAL_PPD_MEDIAN,0.7347304,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2012-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2012,YYYY,ANNUAL_PPD_MEDIAN,0.7441688,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2012-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2012,YYYY,ANNUAL_PPD_MEDIAN,0.8399072,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2012-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2013,YYYY,ANNUAL_PPD_MEDIAN,0.7760310,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2013-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2013,YYYY,ANNUAL_PPD_MEDIAN,0.7157526,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2013-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2013,YYYY,ANNUAL_PPD_MEDIAN,0.6883245,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2013-MODISA-R2015-L3B2-PPD-VGPM2-STATS
