"SVSPP","COMNAME","ITISSPP","NESPP3","SCINAME","Fed.Managed","SOE.17","EMAX","RPATH","SOE.18","SizeCat","Min.size","Garrison.Link","NEIEA","SOE.20","SOE.24","FMP"
25,"ROSETTE SKATE",564136,364,"LEUCORAJA GARMANI","NEFMC","Benthivore","Benthivore Elasmobranchs","OtherSkates","Benthivore",NA,NA,NA,"Elasmobranchs","Benthivore","Benthivore","Skates"
26,"LITTLE SKATE",564130,366,"LEUCORAJA ERINACEA","NEFMC","Macrozoo-piscivore","Omnivore Elasmobranchs","LittleSkate","Piscivore","S",10,"Amphipod/Shrimp Eaters","Elasmobranchs","Piscivore","Benthivore","Skates"
26,"LITTLE SKATE",564130,366,"LEUCORAJA ERINACEA","NEFMC","Macrozoo-piscivore","Omnivore Elasmobranchs","LittleSkate","Piscivore","M",31,"Amphipod/Shrimp Eaters","Elasmobranchs","Piscivore","Benthivore","Skates"
27,"SMOOTH SKATE",564151,369,"MALACORAJA SENTA","NEFMC","Macrozoo-piscivore","Benthivore Elasmobranchs","OtherSkates","Piscivore","M",31,"Shrimp/Small Fish Eaters","Elasmobranchs","Piscivore","Benthivore","Skates"
28,"THORNY SKATE",564149,370,"AMBLYRAJA RADIATA","NEFMC","Piscivore","Omnivore Elasmobranchs","OtherSkates","Piscivore","S",10,"Benthivores","Elasmobranchs","Piscivore","Piscivore","Skates"
28,"THORNY SKATE",564149,370,"AMBLYRAJA RADIATA","NEFMC","Piscivore","Omnivore Elasmobranchs","OtherSkates","Piscivore","M",31,"Benthivores","Elasmobranchs","Piscivore","Piscivore","Skates"
28,"THORNY SKATE",564149,370,"AMBLYRAJA RADIATA","NEFMC","Piscivore","Omnivore Elasmobranchs","OtherSkates","Piscivore","L",61,"Piscivores","Elasmobranchs","Piscivore","Piscivore","Skates"
28,"THORNY SKATE",564149,370,"AMBLYRAJA RADIATA","NEFMC","Piscivore","Omnivore Elasmobranchs","OtherSkates","Piscivore","XL",81,"Piscivores","Elasmobranchs","Piscivore","Piscivore","Skates"
29,"SOUTHERN STINGRAY",160951,NA,"DASYATIS AMERICANA",NA,"Other","Benthivore Elasmobranchs","Rays","Other",NA,NA,NA,NA,"Other","Benthivore",NA
30,"HERRING UNCL",161700,167,"CLUPEIDAE",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
31,"ROUND HERRING",161743,166,"ETRUMEUS TERES",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
32,"ATLANTIC HERRING",161722,168,"CLUPEA HARENGUS","NEFMC","Mesoplanktivore",NA,"AtlHerring","Planktivore","S",10,"Planktivores","Forage Fish","Planktivore","Planktivore","Atlantic herring"
32,"ATLANTIC HERRING",161722,168,"CLUPEA HARENGUS","NEFMC","Mesoplanktivore",NA,"AtlHerring","Planktivore","M",21,"Planktivores","Forage Fish","Planktivore","Planktivore","Atlantic herring"
33,"ALEWIFE",161706,1,"ALOSA PSEUDOHARENGUS",NA,"Mesoplanktivore",NA,"RiverHerring","Planktivore","M",21,"Planktivores","Forage Fish","Planktivore","Planktivore",NA
34,"BLUEBACK HERRING",161703,112,"ALOSA AESTIVALIS",NA,"Mesoplanktivore",NA,"RiverHerring","Planktivore",NA,NA,NA,"Forage Fish","Planktivore","Planktivore",NA
35,"AMERICAN SHAD",161702,347,"ALOSA SAPIDISSIMA",NA,"Mesoplanktivore",NA,"AmShad","Planktivore",NA,NA,NA,"Forage Fish","Planktivore","Planktivore",NA
36,"MENHADEN",161731,221,"BREVOORTIA",NA,"Mesoplanktivore",NA,"OtherPelagics","Planktivore",NA,NA,NA,"Forage Fish","Planktivore","Planktivore",NA
37,"HICKORY SHAD",161704,173,"ALOSA MEDIOCRIS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
38,"CAPELIN",162035,361,"MALLOTUS VILLOSUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
39,"SLICKHEADS",162303,NA,"ALEPOCEPHALIDAE ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
43,"BAY ANCHOVY",161839,6,"ANCHOA MITCHILLI",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
44,"STRIPED ANCHOVY",161838,NA,"ANCHOA HEPSETUS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
45,"RAINBOW SMELT",162041,371,"OSMERUS MORDAX",NA,"Other",NA,"SmallPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
46,"ATLANTIC ARGENTINE",162064,NA,"ARGENTINA SILUS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
47,"GREENEYE UNCL",162427,139,"CHLOROPHTHALMIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
51,"GLACIER LANTERNFISH",162680,NA,"BENTHOSEMA GLACIALE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
52,"MADEIRA LANTERNFISH",162632,NA,"LAMPANYCTUS ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
54,"HORNED LANTERNFISH",162578,NA,"CERATOSCOPELUS MADERENSIS",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
55,"SPOTTED LANTERNFISH",162723,NA,"MYCTOPHUM PUNCTATUM",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
56,"LANTERNFISH UNCL",162575,655,"MYCTOPHIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
57,NA,162701,NA,"HYGOPHUM TAANINGI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
58,"PATCHWORK LAMPFISH",162654,NA,"NOTOSCOPELUS RESPLENDENS",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
59,NA,162712,NA,"GONICHTHYS COCCOI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
60,"EEL UNCL",161123,117,"ANGUILLIFORMES",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
61,"HEADLIGHTFISH UNCL",162583,NA,"DIAPHUS ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
63,"CONGER EEL",161326,116,"CONGER OCEANICUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Piscivore",NA
64,"SNUBNOSE EEL",161594,NA,"SIMENCHELYS PARASITICA ",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
65,"MARGINED SNAKE EEL",161473,NA,"OPHICHTHUS CRUENTIFER",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
66,"SILVERSTRIPE HALFBEAK",165474,NA,"HYPORHAMPHUS UNIFASCIATUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
67,"SLENDER SNIPE EEL",161624,NA,"NEMICHTHYS SCOLOPACEUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Planktivore",NA
68,"FLAT NEEDLEFISH",165548,NA,"ABLENNES HIANS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
69,"OFFSHORE HAKE",164793,508,"MERLUCCIUS ALBIDUS","NEFMC","Piscivore","Piscivore Gadiformes","OffHake","Piscivore",NA,NA,NA,"Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
70,"BEARDLESS CODLING",550669,NA,"GADELLA IMBERBIS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
72,"SILVER HAKE",164791,509,"MERLUCCIUS BILINEARIS","NEFMC","Piscivore","Piscivore Gadiformes","SilverHake","Piscivore","S",10,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
72,"SILVER HAKE",164791,509,"MERLUCCIUS BILINEARIS","NEFMC","Piscivore","Piscivore Gadiformes","SilverHake","Piscivore","M",21,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
72,"SILVER HAKE",164791,509,"MERLUCCIUS BILINEARIS","NEFMC","Piscivore","Piscivore Gadiformes","SilverHake","Piscivore","L",41,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
73,"ATLANTIC COD",164712,81,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,81,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","M",21,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,81,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","L",51,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,81,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","XL",81,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,82,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,82,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","M",21,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,82,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","L",51,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
73,"ATLANTIC COD",164712,82,"GADUS MORHUA","NEFMC","Piscivore","Piscivore Gadiformes","Cod","Piscivore","XL",81,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
74,"HADDOCK",164744,147,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","S",10,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
74,"HADDOCK",164744,147,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
74,"HADDOCK",164744,147,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","L",51,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
74,"HADDOCK",164744,148,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","S",10,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
74,"HADDOCK",164744,148,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
74,"HADDOCK",164744,148,"MELANOGRAMMUS AEGLEFINUS","NEFMC","Benthivore","Benthivore Gadiformes","Haddock","Benthivore","L",51,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
75,"POLLOCK",164727,269,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","S",10,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,269,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","M",21,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,269,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","L",51,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,269,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","XL",81,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,270,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","S",10,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,270,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","M",21,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,270,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","L",51,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
75,"POLLOCK",164727,270,"POLLACHIUS VIRENS","NEFMC","Macrozoo-piscivore","Piscivore Gadiformes","Pollock","Piscivore","XL",81,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,153,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,153,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","M",21,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,153,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","L",41,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,154,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,154,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","M",21,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
76,"WHITE HAKE",164732,154,"UROPHYCIS TENUIS","NEFMC","Macroplanktivore","Piscivore Gadiformes","WhiteHake","Piscivore","L",41,"Piscivores","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
77,"RED HAKE",164730,152,"UROPHYCIS CHUSS","NEFMC","Macrozoo-piscivore","Benthivore Gadiformes","RedHake","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
77,"RED HAKE",164730,152,"UROPHYCIS CHUSS","NEFMC","Macrozoo-piscivore","Benthivore Gadiformes","RedHake","Piscivore","M",21,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
77,"RED HAKE",164730,152,"UROPHYCIS CHUSS","NEFMC","Macrozoo-piscivore","Benthivore Gadiformes","RedHake","Piscivore","L",41,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies Small Mesh"
78,"SPOTTED HAKE",164731,662,"UROPHYCIS REGIA",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other","S",10,"Amphipod/Shrimp Eaters","Other","Other","Piscivore",NA
78,"SPOTTED HAKE",164731,662,"UROPHYCIS REGIA",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other","M",21,"Piscivores","Other","Other","Piscivore",NA
79,"LONGFIN HAKE",164733,NA,"UROPHYCIS CHESTERI",NA,"Other","Piscivore Gadiformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
80,"HAKE UNCL",164701,NA,"GADIDAE",NA,"Other","Piscivore Gadiformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
81,"BLUE HAKE",164672,664,"ANTIMORA ROSTRATA",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other",NA,NA,NA,"Other","Other","Other",NA
82,"METALLIC CODLING",550838,NA,"PHYSICULUS FULVUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
83,"FOURBEARD ROCKLING",164748,NA,"ENCHELYOPUS CIMBRIUS",NA,"Other","Benthivore Gadiformes","Freshwater","Other",NA,NA,NA,"Other","Other","Benthivore",NA
84,"CUSK",164740,96,"BROSME BROSME",NA,"Macrozoo-piscivore","Benthivore Gadiformes","OtherDemersals","Planktivore",NA,NA,NA,"Other","Planktivore","Piscivore",NA
85,"THREEBEARD ROCKLING",164769,NA,"GAIDROPSARUS ENSIS",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
86,"HAKES",164790,507,"MERLUCCIUS ",NA,"Other","Piscivore Gadiformes","OtherDemersals","Other",NA,NA,NA,"Other","Other","Other",NA
87,"CODLINGS",164729,155,"UROPHYCIS ",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
88,"MORA UNCL",164670,NA,"MORIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
90,"GRENADIER UNCL",165332,138,"MACROURIDAE",NA,"Other","Benthivore Gadiformes","Mesopelagics","Other",NA,NA,NA,"Other","Other","Other",NA
91,"MARLIN-SPIKE",165395,NA,"NEZUMIA BAIRDII ",NA,"Other","Benthivore Gadiformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Benthivore",NA
92,"ROUGHHEAD GRENADIER",165421,137,"MACROURUS BERGLAX",NA,"Other","Benthivore Gadiformes","Mesopelagics","Other",NA,NA,NA,"Other","Other","Other",NA
93,"LONGNOSE GRENADIER",623199,NA,"CAELORINCHUS CAELORHINCUS CARMINATUS ",NA,"Other","Benthivore Gadiformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
98,"DEEPWATER DAB",172938,NA,"POECILOPSETTA BEANI",NA,"Other","Benthivore Pleuronectiformes","OtherFlatfish","Other",NA,NA,NA,NA,"Other","Other",NA
99,"GREENLAND HALIBUT",172930,158,"REINHARDTIUS HIPPOGLOSSOIDES",NA,"Other","Piscivore Others","OtherDemersals","Other",NA,NA,NA,"Other","Other","Other",NA
100,"FLOUNDER UNCL",172702,126,"PLEURONECTIFORMES",NA,"Other","Southern Pleuronectiformes","OtherFlatfish","Other",NA,NA,NA,NA,"Other","Other",NA
101,"ATLANTIC HALIBUT",172933,159,"HIPPOGLOSSUS HIPPOGLOSSUS","NEFMC","Piscivore","Piscivore Others","AtlHalibut","Piscivore",NA,NA,NA,"Groundfish","Piscivore","Piscivore","Northeast Multispecies"
102,"AMERICAN PLAICE",172877,124,"HIPPOGLOSSOIDES PLATESSOIDES","NEFMC","Benthivore","Benthivore Pleuronectiformes","AmPlaice","Benthivore","S",10,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
102,"AMERICAN PLAICE",172877,124,"HIPPOGLOSSOIDES PLATESSOIDES","NEFMC","Benthivore","Benthivore Pleuronectiformes","AmPlaice","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
102,"AMERICAN PLAICE",172877,124,"HIPPOGLOSSOIDES PLATESSOIDES","NEFMC","Benthivore","Benthivore Pleuronectiformes","AmPlaice","Benthivore","L",41,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
103,"SUMMER FLOUNDER",172735,121,"PARALICHTHYS DENTATUS","MAFMC","Piscivore","Piscivore Others","SummerFlounder","Piscivore","M",21,"Piscivores","Groundfish","Piscivore","Piscivore","Summer Flounder Scup Black Sea Bass"
103,"SUMMER FLOUNDER",172735,121,"PARALICHTHYS DENTATUS","MAFMC","Piscivore","Piscivore Others","SummerFlounder","Piscivore","L",41,"Piscivores","Groundfish","Piscivore","Piscivore","Summer Flounder Scup Black Sea Bass"
104,"FOURSPOT FLOUNDER",172739,127,"PARALICHTHYS OBLONGUS",NA,"Piscivore","Benthivore Pleuronectiformes","Fourspot","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore",NA
104,"FOURSPOT FLOUNDER",172739,127,"PARALICHTHYS OBLONGUS",NA,"Piscivore","Benthivore Pleuronectiformes","Fourspot","Piscivore","M",21,"Piscivores","Groundfish","Piscivore","Piscivore",NA
105,"YELLOWTAIL FLOUNDER",172909,123,"LIMANDA FERRUGINEA ","NEFMC","Benthivore","Benthivore Pleuronectiformes","YTFlounder","Benthivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
105,"YELLOWTAIL FLOUNDER",172909,123,"LIMANDA FERRUGINEA ","NEFMC","Benthivore","Benthivore Pleuronectiformes","YTFlounder","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
105,"YELLOWTAIL FLOUNDER",172909,123,"LIMANDA FERRUGINEA ","NEFMC","Benthivore","Benthivore Pleuronectiformes","YTFlounder","Benthivore","L",41,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,119,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","S",10,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,119,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,119,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","L",41,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,120,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","S",10,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,120,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
106,"WINTER FLOUNDER",172905,120,"PSEUDOPLEURONECTES AMERICANUS ","NEFMC","Benthivore","Benthivore Pleuronectiformes","WinterFlounder","Benthivore","L",41,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
107,"WITCH FLOUNDER",172873,122,"GLYPTOCEPHALUS CYNOGLOSSUS","NEFMC","Benthivore","Benthivore Pleuronectiformes","WitchFlounder","Benthivore","M",21,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
107,"WITCH FLOUNDER",172873,122,"GLYPTOCEPHALUS CYNOGLOSSUS","NEFMC","Benthivore","Benthivore Pleuronectiformes","WitchFlounder","Benthivore","L",41,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
108,"WINDOWPANE",172746,125,"SCOPHTHALMUS AQUOSUS",NA,"Macrozoo-piscivore","Benthivore Pleuronectiformes","Windowpane","Piscivore","S",10,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore",NA
108,"WINDOWPANE",172746,125,"SCOPHTHALMUS AQUOSUS",NA,"Macrozoo-piscivore","Benthivore Pleuronectiformes","Windowpane","Piscivore","M",21,"Amphipod/Shrimp Eaters","Groundfish","Piscivore","Piscivore",NA
109,"GULF STREAM FLOUNDER",172719,129,"CITHARICHTHYS ARCTIFRONS",NA,"Other","Benthivore Pleuronectiformes","SmFlatfishes","Other","S",10,"Benthivores","Other","Other","Benthivore",NA
110,"DEEPWATER FLOUNDER",172789,NA,"MONOLENE SESSILICAUDA",NA,"Other","Benthivore Pleuronectiformes","OtherFlatfish","Other",NA,NA,NA,NA,"Other","Other",NA
111,"LONGSPINE SNIPEFISH",166423,NA,"MACRORHAMPHOSUS SCOLOPAX",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Benthivore",NA
112,"JOHN DORY",166283,188,"ZENOPSIS OCELLATA",NA,"Macrozoo-piscivore",NA,"OtherDemersals","Piscivore",NA,NA,NA,NA,"Piscivore","Piscivore",NA
113,"ATLANTIC SILVERSIDE",165994,362,"MENIDIA MENIDIA",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
114,"BLACKMOUTH BASS",168335,291,"SYNAGROPS BELLUS",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,"Other","Other","Benthivore",NA
115,"THREESPINE STICKLEBACK",166365,NA,"GASTEROSTEUS ACULEATUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
116,"NORTHERN PIPEFISH",166451,NA,"SYNGNATHUS FUSCUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Planktivore",NA
117,"SMALLMOUTH FLOUNDER",172730,NA,"ETROPUS MICROSTOMUS",NA,"Other","Benthivore Pleuronectiformes","SmFlatfishes","Other",NA,NA,NA,NA,"Other","Benthivore",NA
118,"HOGCHOKER",172982,128,"TRINECTES MACULATUS",NA,"Other","Benthivore Pleuronectiformes","SmFlatfishes","Other",NA,NA,NA,"Other","Other","Benthivore",NA
119,"TRUMPETFISH",166411,NA,"AULOSTOMUS MACULATUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
120,"BLUESPOTTED CORNETFISH",166416,NA,"FISTULARIA TABACARIA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
121,"ATLANTIC MACKEREL",172414,212,"SCOMBER SCOMBRUS","MAFMC","Mesoplanktivore",NA,"AtlMackerel","Planktivore","S",10,"Planktivores","Forage Fish","Planktivore","Planktivore","Mackerel Squid Butterfish"
121,"ATLANTIC MACKEREL",172414,212,"SCOMBER SCOMBRUS","MAFMC","Mesoplanktivore",NA,"AtlMackerel","Planktivore","M",21,"Planktivores","Forage Fish","Planktivore","Planktivore","Mackerel Squid Butterfish"
121,"ATLANTIC MACKEREL",172414,212,"SCOMBER SCOMBRUS","MAFMC","Mesoplanktivore",NA,"AtlMackerel","Planktivore","L",36,"Planktivores","Forage Fish","Planktivore","Planktivore","Mackerel Squid Butterfish"
123,"ATLANTIC BONITO",172409,33,"SARDA SARDA",NA,"Other",NA,"LargePelagics","Other",NA,NA,NA,NA,"Other","Other",NA
124,"CHUB MACKEREL",172412,215,"SCOMBER JAPONICUS","MAFMC","Other",NA,"OtherPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore","Mackerel Squid Butterfish"
125,"WAHOO",172451,472,"ACANTHOCYBIUM SOLANDRI",NA,"Other",NA,"LargePelagics","Other",NA,NA,NA,NA,"Other","Other",NA
