"Time","Var","Value","EPU","Units"
2017,"duration-SurfaceDetrended",12,"GOM","N days"
2017,"duration-SurfaceDetrended",8,"MAB","N days"
2018,"duration-SurfaceDetrended",8,"GB","N days"
2018,"duration-SurfaceDetrended",21,"GOM","N days"
2018,"duration-SurfaceDetrended",11,"MAB","N days"
2019,"duration-SurfaceDetrended",7,"MAB","N days"
2020,"duration-SurfaceDetrended",15,"GB","N days"
2020,"duration-SurfaceDetrended",14,"GOM","N days"
2020,"duration-SurfaceDetrended",10,"MAB","N days"
2021,"duration-SurfaceDetrended",14,"GB","N days"
2021,"duration-SurfaceDetrended",14,"GOM","N days"
2021,"duration-SurfaceDetrended",24,"MAB","N days"
2022,"duration-SurfaceDetrended",29,"GB","N days"
2022,"duration-SurfaceDetrended",17,"GOM","N days"
2022,"duration-SurfaceDetrended",11,"MAB","N days"
2023,"duration-SurfaceDetrended",24,"GB","N days"
2023,"duration-SurfaceDetrended",11,"GOM","N days"
2023,"duration-SurfaceDetrended",10,"MAB","N days"
2024,"duration-SurfaceDetrended",12,"GOM","N days"
1984,"cumulative intensity-BottomDetrended",34.0513,"GOM","degrees C"
1985,"cumulative intensity-BottomDetrended",50.2812,"GOM","degrees C"
1985,"cumulative intensity-BottomDetrended",182.0184,"MAB","degrees C"
1986,"cumulative intensity-BottomDetrended",36.0588,"GB","degrees C"
1986,"cumulative intensity-BottomDetrended",231.1889,"GOM","degrees C"
1986,"cumulative intensity-BottomDetrended",260.906,"MAB","degrees C"
1990,"cumulative intensity-BottomDetrended",95.5928,"MAB","degrees C"
1991,"cumulative intensity-BottomDetrended",63.53,"GB","degrees C"
1991,"cumulative intensity-BottomDetrended",70.6294,"MAB","degrees C"
1994,"cumulative intensity-BottomDetrended",132.0066,"GB","degrees C"
1994,"cumulative intensity-BottomDetrended",55.1748,"GOM","degrees C"
1995,"cumulative intensity-BottomDetrended",45.0605,"GB","degrees C"
1999,"cumulative intensity-BottomDetrended",175.4996,"GB","degrees C"
1999,"cumulative intensity-BottomDetrended",222.5429,"MAB","degrees C"
2000,"cumulative intensity-BottomDetrended",63.198,"GB","degrees C"
2009,"cumulative intensity-BottomDetrended",55.556,"GB","degrees C"
2012,"cumulative intensity-BottomDetrended",332.6032,"GB","degrees C"
2012,"cumulative intensity-BottomDetrended",413.8964,"MAB","degrees C"
2013,"cumulative intensity-BottomDetrended",114.0542,"GOM","degrees C"
2014,"cumulative intensity-BottomDetrended",173.0636,"GB","degrees C"
2014,"cumulative intensity-BottomDetrended",205.5781,"MAB","degrees C"
2015,"cumulative intensity-BottomDetrended",143.1777,"GB","degrees C"
2015,"cumulative intensity-BottomDetrended",188.9938,"MAB","degrees C"
2016,"cumulative intensity-BottomDetrended",97.7621,"GB","degrees C"
2016,"cumulative intensity-BottomDetrended",83.6052,"GOM","degrees C"
2019,"cumulative intensity-BottomDetrended",123.8852,"MAB","degrees C"
2020,"cumulative intensity-BottomDetrended",249.6355,"GOM","degrees C"
2021,"cumulative intensity-BottomDetrended",34.9468,"GB","degrees C"
2021,"cumulative intensity-BottomDetrended",328.6791,"GOM","degrees C"
2022,"cumulative intensity-BottomDetrended",47.4341,"GOM","degrees C"
2023,"cumulative intensity-BottomDetrended",284.0419,"GOM","degrees C"
1984,"maximum intensity-BottomDetrended",1.2857,"GOM","degrees C"
1985,"maximum intensity-BottomDetrended",0.9636,"GOM","degrees C"
1985,"maximum intensity-BottomDetrended",3.5614,"MAB","degrees C"
1986,"maximum intensity-BottomDetrended",1.2276,"GB","degrees C"
1986,"maximum intensity-BottomDetrended",1.0601,"GOM","degrees C"
1986,"maximum intensity-BottomDetrended",3.2866,"MAB","degrees C"
1990,"maximum intensity-BottomDetrended",2.1513,"MAB","degrees C"
1991,"maximum intensity-BottomDetrended",1.4481,"GB","degrees C"
1991,"maximum intensity-BottomDetrended",2.8881,"MAB","degrees C"
1994,"maximum intensity-BottomDetrended",2.1923,"GB","degrees C"
1994,"maximum intensity-BottomDetrended",0.8949,"GOM","degrees C"
1995,"maximum intensity-BottomDetrended",1.405,"GB","degrees C"
1999,"maximum intensity-BottomDetrended",2.2324,"GB","degrees C"
1999,"maximum intensity-BottomDetrended",2.7101,"MAB","degrees C"
2000,"maximum intensity-BottomDetrended",1.2697,"GB","degrees C"
2009,"maximum intensity-BottomDetrended",2.225,"GB","degrees C"
2012,"maximum intensity-BottomDetrended",1.9143,"GB","degrees C"
2012,"maximum intensity-BottomDetrended",2.7303,"MAB","degrees C"
2013,"maximum intensity-BottomDetrended",1.6819,"GOM","degrees C"
2014,"maximum intensity-BottomDetrended",2.3349,"GB","degrees C"
2014,"maximum intensity-BottomDetrended",2.2905,"MAB","degrees C"
2015,"maximum intensity-BottomDetrended",2.1827,"GB","degrees C"
2015,"maximum intensity-BottomDetrended",2.4703,"MAB","degrees C"
2016,"maximum intensity-BottomDetrended",2.6659,"GB","degrees C"
2016,"maximum intensity-BottomDetrended",1.12,"GOM","degrees C"
2019,"maximum intensity-BottomDetrended",2.6041,"MAB","degrees C"
2020,"maximum intensity-BottomDetrended",1.1791,"GOM","degrees C"
2021,"maximum intensity-BottomDetrended",1.2493,"GB","degrees C"
2021,"maximum intensity-BottomDetrended",2.0866,"GOM","degrees C"
2022,"maximum intensity-BottomDetrended",0.8979,"GOM","degrees C"
2023,"maximum intensity-BottomDetrended",1.7045,"GOM","degrees C"
1984,"duration-BottomDetrended",34,"GOM","N days"
1985,"duration-BottomDetrended",59,"GOM","N days"
1985,"duration-BottomDetrended",70,"MAB","N days"
1986,"duration-BottomDetrended",33,"GB","N days"
1986,"duration-BottomDetrended",159,"GOM","N days"
1986,"duration-BottomDetrended",73,"MAB","N days"
1990,"duration-BottomDetrended",52,"MAB","N days"
1991,"duration-BottomDetrended",52,"GB","N days"
1991,"duration-BottomDetrended",32,"MAB","N days"
