"Latitude","Longitude","Value","EPU"
43.125,-69.125,5.35651510694753,"MAB"
43.125,-68.875,5.08333509901296,"MAB"
43.125,-68.625,4.84405923926312,"MAB"
43.125,-68.375,4.58535560317661,"MAB"
43.125,-68.125,4.3607189655304,"MAB"
43.125,-67.875,4.12038171809653,"MAB"
43.125,-67.625,3.85979085383208,"MAB"
43.125,-67.375,3.6085160193236,"MAB"
43.125,-67.125,3.37821957339411,"MAB"
43.125,-66.875,3.13818130285844,"MAB"
43.125,-66.625,2.86532525394274,"MAB"
43.125,-66.375,2.63368854315385,"MAB"
43.125,-66.125,2.3947825535484,"MAB"
43.125,-65.875,2.18958412046018,"MAB"
43.125,-65.625,1.96701268527819,"MAB"
43.125,-65.375,1.79587738410286,"MAB"
43.125,-65.125,1.73700444594673,"MAB"
43.125,-64.875,1.80076870710953,"MAB"
43.125,-64.625,1.91549398588098,"MAB"
43.125,-64.375,1.97316378095876,"MAB"
43.125,-64.125,1.93466967085133,"MAB"
43.125,-63.875,1.79170558763587,"MAB"
43.125,-63.625,1.57347151507502,"MAB"
43.125,-63.375,1.3533836344014,"MAB"
43.125,-63.125,1.07911103704701,"MAB"
43.125,-62.875,0.789550646491673,"MAB"
43.125,-62.625,0.555202567059061,"MAB"
43.125,-62.375,0.395221751669179,"MAB"
43.125,-62.125,0.264515607253365,"MAB"
43.125,-61.875,0.122204303741455,"MAB"
43.125,-61.625,0.0223132838373599,"MAB"
43.125,-61.375,-0.0023090528405231,"MAB"
43.125,-61.125,0.15118089966152,"MAB"
43.125,-60.875,0.442444417787635,"MAB"
43.125,-60.625,0.726862181787906,"MAB"
43.125,-60.375,0.91971462705861,"MAB"
43.125,-60.125,0.986031107280565,"MAB"
42.875,-70.625,5.54302804366402,"MAB"
42.875,-70.375,5.57489425203075,"MAB"
42.875,-70.125,5.4745195015617,"MAB"
42.875,-69.875,5.33379316329956,"MAB"
42.875,-69.625,5.25366902351379,"MAB"
42.875,-69.375,5.1830053847769,"MAB"
42.875,-69.125,5.0647367498149,"MAB"
42.875,-68.875,4.97179809860561,"MAB"
42.875,-68.625,4.84812200587729,"MAB"
42.875,-68.375,4.60415242029273,"MAB"
42.875,-68.125,4.24503425929857,"MAB"
42.875,-67.875,3.88209908941518,"MAB"
42.875,-67.625,3.57195667598558,"MAB"
42.875,-67.375,3.38741701582204,"MAB"
42.875,-67.125,3.23602277299632,"MAB"
42.875,-66.875,3.09091007191202,"MAB"
42.875,-66.625,2.89644249625828,"MAB"
42.875,-66.375,2.69144220974134,"MAB"
42.875,-66.125,2.45477103150409,"MAB"
42.875,-65.875,2.18646209136299,"MAB"
42.875,-65.625,1.96439302485922,"MAB"
42.875,-65.375,1.81457977709563,"MAB"
42.875,-65.125,1.73511272927989,"MAB"
42.875,-64.875,1.71553594133128,"MAB"
42.875,-64.625,1.7122902351877,"MAB"
42.875,-64.375,1.7245208180469,"MAB"
42.875,-64.125,1.65418312860572,"MAB"
42.875,-63.875,1.54187413920527,"MAB"
42.875,-63.625,1.42413119647814,"MAB"
42.875,-63.375,1.2942241171132,"MAB"
42.875,-63.125,1.08335141513659,"MAB"
42.875,-62.875,0.842436458753503,"MAB"
42.875,-62.625,0.665231715077939,"MAB"
42.875,-62.375,0.44761528139529,"MAB"
42.875,-62.125,0.253389161566029,"MAB"
42.875,-61.875,0.100812756496927,"MAB"
42.875,-61.625,-0.0452619220899499,"MAB"
42.875,-61.375,0.0101152399311895,"MAB"
42.875,-61.125,0.197368321211442,"MAB"
42.875,-60.875,0.582197064938753,"MAB"
42.875,-60.625,0.934644553972327,"MAB"
42.875,-60.375,1.10183264898217,"MAB"
42.875,-60.125,1.09602973772132,"MAB"
42.625,-70.625,5.57591357438461,"MAB"
42.625,-70.375,5.50609850883484,"MAB"
42.625,-70.125,5.28956445403721,"MAB"
42.625,-69.875,5.03809557790342,"MAB"
42.625,-69.625,4.8291785924331,"MAB"
42.625,-69.375,4.72009430760923,"MAB"
42.625,-69.125,4.67889841743138,"MAB"
42.625,-68.875,4.61380850750467,"MAB"
42.625,-68.625,4.48730840890304,"MAB"
42.625,-68.375,4.27559539546137,"MAB"
42.625,-68.125,3.95260101815929,"MAB"
42.625,-67.875,3.59045753271683,"MAB"
42.625,-67.625,3.29021697459014,"MAB"
42.625,-67.375,3.15793504922286,"MAB"
42.625,-67.125,3.05980838900027,"MAB"
42.625,-66.875,3.02894217035045,"MAB"
42.625,-66.625,2.936989898267,"MAB"
42.625,-66.375,2.78325427096823,"MAB"
42.625,-66.125,2.5361214098723,"MAB"
42.625,-65.875,2.23912249440732,"MAB"
42.625,-65.625,1.94239057665286,"MAB"
42.625,-65.375,1.73568918394006,"MAB"
42.625,-65.125,1.59379997460738,"MAB"
42.625,-64.875,1.54163370961728,"MAB"
42.625,-64.625,1.45285622969918,"MAB"
42.625,-64.375,1.50109420651975,"MAB"
42.625,-64.125,1.5488413416821,"MAB"
42.625,-63.875,1.58272214557814,"MAB"
42.625,-63.625,1.65194078113722,"MAB"
42.625,-63.375,1.67586275805598,"MAB"
42.625,-63.125,1.59719938817232,"MAB"
42.625,-62.875,1.4491272283637,"MAB"
42.625,-62.625,1.33689234567725,"MAB"
42.625,-62.375,1.15263396760692,"MAB"
42.625,-62.125,0.911244931428329,"MAB"
