"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GB","25-100m",">29.5°C",0,"GLORYS",29.5,"Proportion"
1993,"GB","25-100m",">29°C",0,"GLORYS",29,"Proportion"
1993,"GB","25-100m",">2°C",0.999995796466719,"GLORYS",2,"Proportion"
1993,"GB","25-100m",">3.5°C",0.982646456625396,"GLORYS",3.5,"Proportion"
1993,"GB","25-100m",">30°C",0,"GLORYS",30,"Proportion"
1993,"GB","25-100m",">3°C",0.999014651128455,"GLORYS",3,"Proportion"
1993,"GB","25-100m",">4.5°C",0.845325729060324,"GLORYS",4.5,"Proportion"
1993,"GB","25-100m",">4°C",0.921588963498565,"GLORYS",4,"Proportion"
1993,"GB","25-100m",">5.5°C",0.72546338073839,"GLORYS",5.5,"Proportion"
1993,"GB","25-100m",">5°C",0.777466218374728,"GLORYS",5,"Proportion"
1993,"GB","25-100m",">6.5°C",0.604722880539988,"GLORYS",6.5,"Proportion"
1993,"GB","25-100m",">6°C",0.66684284778011,"GLORYS",6,"Proportion"
1993,"GB","25-100m",">7.5°C",0.499823446546314,"GLORYS",7.5,"Proportion"
1993,"GB","25-100m",">7°C",0.548632223898288,"GLORYS",7,"Proportion"
1993,"GB","25-100m",">8.5°C",0.42562262711117,"GLORYS",8.5,"Proportion"
1993,"GB","25-100m",">8°C",0.460269549564112,"GLORYS",8,"Proportion"
1993,"GB","25-100m",">9.5°C",0.360726358881467,"GLORYS",9.5,"Proportion"
1993,"GB","25-100m",">9°C",0.393852673837167,"GLORYS",9,"Proportion"
1993,"GB","AllDepths",">0.5°C",0.999999943472622,"GLORYS",0.5,"Proportion"
1993,"GB","AllDepths",">1.5°C",0.999884559087421,"GLORYS",1.5,"Proportion"
1993,"GB","AllDepths",">10.5°C",0.314698146187528,"GLORYS",10.5,"Proportion"
1993,"GB","AllDepths",">10°C",0.354479703557026,"GLORYS",10,"Proportion"
1993,"GB","AllDepths",">11.5°C",0.238773243451111,"GLORYS",11.5,"Proportion"
1993,"GB","AllDepths",">11°C",0.277855556336075,"GLORYS",11,"Proportion"
1993,"GB","AllDepths",">12.5°C",0.15994686205446,"GLORYS",12.5,"Proportion"
1993,"GB","AllDepths",">12°C",0.198428794009811,"GLORYS",12,"Proportion"
1993,"GB","AllDepths",">13.5°C",0.0922896428537388,"GLORYS",13.5,"Proportion"
1993,"GB","AllDepths",">13°C",0.124226769596519,"GLORYS",13,"Proportion"
1993,"GB","AllDepths",">14.5°C",0.0499608373390829,"GLORYS",14.5,"Proportion"
1993,"GB","AllDepths",">14°C",0.0679596979434139,"GLORYS",14,"Proportion"
1993,"GB","AllDepths",">15.5°C",0.0295954959729399,"GLORYS",15.5,"Proportion"
1993,"GB","AllDepths",">15°C",0.0375051288565575,"GLORYS",15,"Proportion"
