"Time","EPU","Var","Value"
2021,"GOM","sprtrans",136
2021,"GOM","sumlen",199
2021,"MAB","falltrans",327
2021,"MAB","maxday",240
2021,"MAB","sprtrans",138
2021,"MAB","sumlen",189
2022,"GB","falltrans",354
2022,"GB","maxday",219
2022,"GB","sprtrans",146
2022,"GB","sumlen",208
2022,"GOM","falltrans",332
2022,"GOM","maxday",219
2022,"GOM","sprtrans",146
2022,"GOM","sumlen",186
2022,"MAB","falltrans",328
2022,"MAB","maxday",242
2022,"MAB","sprtrans",148
2022,"MAB","sumlen",180
2023,"GB","falltrans",327
2023,"GB","maxday",208
2023,"GB","sprtrans",151
2023,"GB","sumlen",176
2023,"GOM","falltrans",325
2023,"GOM","maxday",208
2023,"GOM","sprtrans",147
2023,"GOM","sumlen",178
2023,"MAB","falltrans",316
2023,"MAB","maxday",207
2023,"MAB","sprtrans",138
2023,"MAB","sumlen",178
2024,"GB","falltrans",NA
2024,"GB","maxday",NA
2024,"GB","sprtrans",151
2024,"GB","sumlen",NA
2024,"GOM","falltrans",NA
2024,"GOM","maxday",NA
2024,"GOM","sprtrans",144
2024,"GOM","sumlen",NA
2024,"MAB","falltrans",NA
2024,"MAB","maxday",NA
2024,"MAB","sprtrans",147
2024,"MAB","sumlen",NA
