"Time","Var","Value","EPU","Units"
1992,"bottom temp anomaly in situ",0.0425,"SS","degreesC"
1992,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1992,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1992,"sst anomaly in situ",-1.68006666666667,"SS","degreesC"
1993,"bottom temp anomaly in situ",-0.951966666666667,"GB","degreesC"
1993,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1993,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1993,"sst anomaly in situ",-0.902466666666667,"GB","degreesC"
1993,"bottom temp anomaly in situ",-0.9469,"GOM","degreesC"
1993,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1993,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1993,"sst anomaly in situ",-1.46916666666667,"GOM","degreesC"
1993,"bottom temp anomaly in situ",-1.3835,"MAB","degreesC"
1993,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1993,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1993,"sst anomaly in situ",-0.7065,"MAB","degreesC"
1993,"bottom temp anomaly in situ",-0.429433333333333,"SS","degreesC"
1993,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1993,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1993,"sst anomaly in situ",-0.7551,"SS","degreesC"
1994,"bottom temp anomaly in situ",0.177177777777778,"GB","degreesC"
1994,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1994,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1994,"sst anomaly in situ",-0.29685,"GB","degreesC"
1994,"bottom temp anomaly in situ",0.2315,"GOM","degreesC"
1994,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1994,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1994,"sst anomaly in situ",-0.42755,"GOM","degreesC"
1994,"bottom temp anomaly in situ",-0.387075,"MAB","degreesC"
1994,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1994,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1994,"sst anomaly in situ",-1.332925,"MAB","degreesC"
1994,"bottom temp anomaly in situ",0.8721,"SS","degreesC"
1994,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1994,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1994,"sst anomaly in situ",-0.2694,"SS","degreesC"
1995,"bottom temp anomaly in situ",0.431366666666667,"GB","degreesC"
1995,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1995,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1995,"sst anomaly in situ",-0.24786875,"GB","degreesC"
1995,"bottom temp anomaly in situ",0.104566666666667,"GOM","degreesC"
1995,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1995,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1995,"sst anomaly in situ",-0.095175,"GOM","degreesC"
1995,"bottom temp anomaly in situ",1.6822,"MAB","degreesC"
1995,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1995,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1995,"sst anomaly in situ",0.213866666666667,"MAB","degreesC"
1995,"bottom temp anomaly in situ",-0.0858,"SS","degreesC"
1995,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1995,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1995,"sst anomaly in situ",-0.1666,"SS","degreesC"
1996,"bottom temp anomaly in situ",-0.8521,"GB","degreesC"
1996,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1996,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1996,"sst anomaly in situ",-1.01530666666667,"GB","degreesC"
1996,"bottom temp anomaly in situ",-0.0969666666666667,"GOM","degreesC"
1996,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1996,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1996,"sst anomaly in situ",-0.808066666666667,"GOM","degreesC"
1996,"bottom temp anomaly in situ",-0.9811,"MAB","degreesC"
1996,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1996,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1996,"sst anomaly in situ",-1.65016666666667,"MAB","degreesC"
1996,"bottom temp anomaly in situ",-0.606466666666667,"SS","degreesC"
1996,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1996,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1996,"sst anomaly in situ",-1.47066666666667,"SS","degreesC"
1997,"bottom temp anomaly in situ",-0.28169,"GB","degreesC"
1997,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1997,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1997,"sst anomaly in situ",-0.36059,"GB","degreesC"
1997,"bottom temp anomaly in situ",0.06195,"GOM","degreesC"
1997,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1997,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1997,"sst anomaly in situ",-0.523666666666667,"GOM","degreesC"
1997,"bottom temp anomaly in situ",0.092525,"MAB","degreesC"
1997,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1997,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1997,"sst anomaly in situ",-0.4449,"MAB","degreesC"
1997,"bottom temp anomaly in situ",-0.37095,"SS","degreesC"
1997,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1997,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1997,"sst anomaly in situ",-1.18575,"SS","degreesC"
1998,"bottom temp anomaly in situ",-0.123738461538462,"GB","degreesC"
1998,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1998,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1998,"sst anomaly in situ",-0.0957923076923077,"GB","degreesC"
1998,"bottom temp anomaly in situ",-0.73476,"GOM","degreesC"
1998,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1998,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1998,"sst anomaly in situ",-0.676716666666667,"GOM","degreesC"
1998,"bottom temp anomaly in situ",-0.82972,"MAB","degreesC"
1998,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1998,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1998,"sst anomaly in situ",0.01342,"MAB","degreesC"
1998,"bottom temp anomaly in situ",-1.709425,"SS","degreesC"
1998,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1998,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1998,"sst anomaly in situ",-1.09755,"SS","degreesC"
1999,"bottom temp anomaly in situ",0.660085714285714,"GB","degreesC"
1999,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1999,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1999,"sst anomaly in situ",0.780535714285714,"GB","degreesC"
1999,"bottom temp anomaly in situ",-0.358983333333333,"GOM","degreesC"
1999,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1999,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1999,"sst anomaly in situ",0.340883333333333,"GOM","degreesC"
1999,"bottom temp anomaly in situ",1.40703333333333,"MAB","degreesC"
1999,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1999,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1999,"sst anomaly in situ",0.501966666666667,"MAB","degreesC"
1999,"bottom temp anomaly in situ",0.82925,"SS","degreesC"
1999,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1999,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1999,"sst anomaly in situ",0.771133333333333,"SS","degreesC"
2000,"bottom temp anomaly in situ",-0.00651428571428572,"GB","degreesC"
2000,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2000,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2000,"sst anomaly in situ",-0.101614285714286,"GB","degreesC"
2000,"bottom temp anomaly in situ",0.3386,"GOM","degreesC"
2000,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
2000,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
2000,"sst anomaly in situ",0.137966666666667,"GOM","degreesC"
2000,"bottom temp anomaly in situ",0.55102,"MAB","degreesC"
2000,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
2000,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
2000,"sst anomaly in situ",-0.16966,"MAB","degreesC"
2000,"bottom temp anomaly in situ",0.4086,"SS","degreesC"
2000,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
2000,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
2000,"sst anomaly in situ",0.67856,"SS","degreesC"
2001,"bottom temp anomaly in situ",0.0336,"GB","degreesC"
2001,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2001,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2001,"sst anomaly in situ",0.439266666666667,"GB","degreesC"
2001,"bottom temp anomaly in situ",-0.1984625,"GOM","degreesC"
2001,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
2001,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
2001,"sst anomaly in situ",-0.2430125,"GOM","degreesC"
2001,"bottom temp anomaly in situ",-0.5286,"MAB","degreesC"
2001,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
2001,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
2001,"sst anomaly in situ",-0.09862,"MAB","degreesC"
2001,"bottom temp anomaly in situ",-0.71345,"SS","degreesC"
2001,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
2001,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
2001,"sst anomaly in situ",-0.70664,"SS","degreesC"
2002,"bottom temp anomaly in situ",0.6463,"GB","degreesC"
2002,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2002,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2002,"sst anomaly in situ",1.0470125,"GB","degreesC"
2002,"bottom temp anomaly in situ",0.292183333333333,"GOM","degreesC"
2002,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
2002,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
2002,"sst anomaly in situ",0.430442857142857,"GOM","degreesC"
2002,"bottom temp anomaly in situ",1.38518333333333,"MAB","degreesC"
2002,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
2002,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
2002,"sst anomaly in situ",0.927516666666667,"MAB","degreesC"
2002,"bottom temp anomaly in situ",0.44158,"SS","degreesC"
2002,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
2002,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
2002,"sst anomaly in situ",0.87414,"SS","degreesC"
2003,"bottom temp anomaly in situ",-0.5902,"GB","degreesC"
2003,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2003,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2003,"sst anomaly in situ",-0.385744444444444,"GB","degreesC"
2003,"bottom temp anomaly in situ",-0.455383333333333,"GOM","degreesC"
2003,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
2003,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
2003,"sst anomaly in situ",-0.801666666666667,"GOM","degreesC"
2003,"bottom temp anomaly in situ",-0.5733,"MAB","degreesC"
2003,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
2003,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
2003,"sst anomaly in situ",-0.470166666666667,"MAB","degreesC"
2003,"bottom temp anomaly in situ",-0.597933333333333,"SS","degreesC"
2003,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
2003,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
2003,"sst anomaly in situ",-0.410925,"SS","degreesC"
2004,"bottom temp anomaly in situ",-1.30534285714286,"GB","degreesC"
2004,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2004,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2004,"sst anomaly in situ",-1.16414285714286,"GB","degreesC"
2004,"bottom temp anomaly in situ",-1.50796666666667,"GOM","degreesC"
2004,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
2004,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
2004,"sst anomaly in situ",-1.0623,"GOM","degreesC"
2004,"bottom temp anomaly in situ",-1.18355,"MAB","degreesC"
2004,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
2004,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
2004,"sst anomaly in situ",-0.554383333333333,"MAB","degreesC"
2004,"bottom temp anomaly in situ",-1.3586,"SS","degreesC"
2004,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
2004,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
2004,"sst anomaly in situ",-1.4196,"SS","degreesC"
2005,"bottom temp anomaly in situ",-0.88695,"GB","degreesC"
2005,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
2005,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
2005,"sst anomaly in situ",-0.6524875,"GB","degreesC"
2005,"bottom temp anomaly in situ",-0.549457142857143,"GOM","degreesC"
2005,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
