"","Time","EPU","Var","Value"
"295",2006,"GOM","sprtrans",149
"296",2006,"GOM","sumlen",156
"297",2006,"MAB","falltrans",316
"298",2006,"MAB","maxday",217
"299",2006,"MAB","sprtrans",146
"300",2006,"MAB","sumlen",170
"301",2007,"GB","falltrans",314
"302",2007,"GB","maxday",214
"303",2007,"GB","sprtrans",174
"304",2007,"GB","sumlen",140
"305",2007,"GOM","falltrans",309
"306",2007,"GOM","maxday",213
"307",2007,"GOM","sprtrans",151
"308",2007,"GOM","sumlen",158
"309",2007,"MAB","falltrans",311
"310",2007,"MAB","maxday",215
"311",2007,"MAB","sprtrans",147
"312",2007,"MAB","sumlen",164
"313",2008,"GB","falltrans",328
"314",2008,"GB","maxday",214
"315",2008,"GB","sprtrans",160
"316",2008,"GB","sumlen",168
"317",2008,"GOM","falltrans",324
"318",2008,"GOM","maxday",214
"319",2008,"GOM","sprtrans",156
"320",2008,"GOM","sumlen",168
"321",2008,"MAB","falltrans",306
"322",2008,"MAB","maxday",215
"323",2008,"MAB","sprtrans",156
"324",2008,"MAB","sumlen",150
"325",2009,"GB","falltrans",349
"326",2009,"GB","maxday",233
"327",2009,"GB","sprtrans",162
"328",2009,"GB","sumlen",187
"329",2009,"GOM","falltrans",316
"330",2009,"GOM","maxday",231
"331",2009,"GOM","sprtrans",156
"332",2009,"GOM","sumlen",160
"333",2009,"MAB","falltrans",324
"334",2009,"MAB","maxday",236
"335",2009,"MAB","sprtrans",144
"336",2009,"MAB","sumlen",180
"337",2010,"GB","falltrans",330
"338",2010,"GB","maxday",244
"339",2010,"GB","sprtrans",153
"340",2010,"GB","sumlen",177
"341",2010,"GOM","falltrans",320
"342",2010,"GOM","maxday",244
"343",2010,"GOM","sprtrans",143
"344",2010,"GOM","sumlen",177
"345",2010,"MAB","falltrans",312
"346",2010,"MAB","maxday",222
"347",2010,"MAB","sprtrans",144
"348",2010,"MAB","sumlen",168
"349",2011,"GB","falltrans",343
"350",2011,"GB","maxday",272
"351",2011,"GB","sprtrans",149
"352",2011,"GB","sumlen",194
"353",2011,"GOM","falltrans",325
"354",2011,"GOM","maxday",214
"355",2011,"GOM","sprtrans",149
"356",2011,"GOM","sumlen",176
"357",2011,"MAB","falltrans",318
"358",2011,"MAB","maxday",213
"359",2011,"MAB","sprtrans",138
"360",2011,"MAB","sumlen",180
"361",2012,"GB","falltrans",336
"362",2012,"GB","maxday",238
"363",2012,"GB","sprtrans",140
"364",2012,"GB","sumlen",196
"365",2012,"GOM","falltrans",336
"366",2012,"GOM","maxday",238
"367",2012,"GOM","sprtrans",138
"368",2012,"GOM","sumlen",198
"369",2012,"MAB","falltrans",314
"370",2012,"MAB","maxday",220
"371",2012,"MAB","sprtrans",133
"372",2012,"MAB","sumlen",181
"373",2013,"GB","falltrans",330
"374",2013,"GB","maxday",204
"375",2013,"GB","sprtrans",143
"376",2013,"GB","sumlen",187
"377",2013,"GOM","falltrans",320
"378",2013,"GOM","maxday",199
"379",2013,"GOM","sprtrans",148
"380",2013,"GOM","sumlen",172
"381",2013,"MAB","falltrans",319
"382",2013,"MAB","maxday",200
"383",2013,"MAB","sprtrans",141
"384",2013,"MAB","sumlen",178
"385",2014,"GB","falltrans",332
"386",2014,"GB","maxday",217
"387",2014,"GB","sprtrans",157
"388",2014,"GB","sumlen",175
"389",2014,"GOM","falltrans",328
"390",2014,"GOM","maxday",222
"391",2014,"GOM","sprtrans",152
"392",2014,"GOM","sumlen",176
"393",2014,"MAB","falltrans",321
"394",2014,"MAB","maxday",248
"395",2014,"MAB","sprtrans",140
