Year,  Month,  Var,    Value,    Var,        Value,    Var,         Value,    EPU,      Units
2019,  06,     T15m,   -0.17,    T15mto40m,   -0.02,    TBlw40m,    -0.11,      MAB,    10^6 m^3/s
2020,  03,     T15m,   -0.03,    T15mto40m,    0.02,    TBlw40m,    -0.11,      MAB,    10^6 m^3/s
2020,  04,     T15m,   -0.10,    T15mto40m,    0.02,    TBlw40m,     0.12,      MAB,    10^6 m^3/s
2020,  05,     T15m,   -0.13,    T15mto40m,   -0.10,    TBlw40m,     0.11,      MAB,    10^6 m^3/s
2020,  06,     T15m,   -0.07,    T15mto40m,   -0.02,    TBlw40m,     0.36,      MAB,    10^6 m^3/s
2021,  03,     T15m,   -0.00,    T15mto40m,    0.09,    TBlw40m,     0.46,      MAB,    10^6 m^3/s
2021,  04,     T15m,   -0.19,    T15mto40m,   -0.09,    TBlw40m,     0.20,      MAB,    10^6 m^3/s
2021,  05,     T15m,   -0.17,    T15mto40m,   -0.14,    TBlw40m,     0.03,      MAB,    10^6 m^3/s
2021,  06,     T15m,   -0.14,    T15mto40m,   -0.02,    TBlw40m,     0.03,      MAB,    10^6 m^3/s
2022,  03,     T15m,   -0.11,    T15mto40m,    0.03,    TBlw40m,     0.26,      MAB,    10^6 m^3/s
2022,  04,     T15m,   -0.07,    T15mto40m,    0.04,    TBlw40m,     0.12,      MAB,    10^6 m^3/s
2022,  05,     T15m,   -0.02,    T15mto40m,    0.04,    TBlw40m,    -0.29,      MAB,    10^6 m^3/s
2022,  06,     T15m,   -0.13,    T15mto40m,   -0.05,    TBlw40m,    -0.25,      MAB,    10^6 m^3/s
2023,  03,     T15m,   -0.09,    T15mto40m,    0.02,    TBlw40m,    -0.02,      MAB,    10^6 m^3/s
2023,  04,     T15m,   -0.08,    T15mto40m,   -0.01,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2023,  05,     T15m,    0.04,    T15mto40m,    0.02,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2023,  06,     T15m,   -0.08,    T15mto40m,   -0.06,    TBlw40m,    -0.11,      MAB,    10^6 m^3/s
2024,  03,     T15m,   -0.03,    T15mto40m,    0.11,    TBlw40m,     0.43,      MAB,    10^6 m^3/s
2024,  04,     T15m,   -0.07,    T15mto40m,    0.01,    TBlw40m,     0.56,      MAB,    10^6 m^3/s
2024,  05,     T15m,   -0.02,    T15mto40m,    0.01,    TBlw40m,    -0.01,      MAB,    10^6 m^3/s
2024,  06,     T15m,   -0.27,    T15mto40m,   -0.07,    TBlw40m,    -0.07,      MAB,    10^6 m^3/s
