"Month.Year","GB.uwnd","GB.vwnd","GB.hcly","GB.tke","GOM.uwnd","GOM.vwnd","GOM.hcly","GOM.tke","MAB.uwnd","MAB.vwnd","MAB.hcly","MAB.tke"
"1-Mar-96",2.9,-1.451,132.7,0.703,2.355,-1.302,125.6,0.651,1.897,-1.539,144.6,0.638
"1-Apr-96",2.315,1.349,158.7,0.701,0.942,0.401,150.5,0.616,2.107,1.241,157.8,0.573
"1-May-96",1.953,1.125,110.8,0.288,1.563,1.263,97.5,0.261,0.67,0.524,131.4,0.279
"1-Jun-96",0.759,2.093,79,0.225,0.602,2.251,84.6,0.228,0.464,1.753,72,0.216
"1-Jul-96",2.028,3.29,79.9,0.323,1.542,3.12,81,0.292,1.718,2.299,81.8,0.322
"1-Aug-96",0.467,0.672,59.9,0.19,0.85,1.377,59.6,0.198,-0.484,0.383,47.6,0.205
"1-Sep-96",1.005,0.362,80.4,0.339,-0.114,-0.802,92.4,0.36,0.565,0.173,77,0.328
"1-Oct-96",0.879,-0.535,120.1,0.569,0.811,-0.454,123.7,0.545,0.774,-0.446,107.1,0.424
"1-Nov-96",2.363,-2.534,108.4,0.655,2.063,-2.023,104.5,0.591,2.427,-2.014,118.3,0.583
"1-Dec-96",0.409,0.366,142,0.651,0.833,0.75,146.9,0.7,1.006,0.155,159.4,0.564
"1-Jan-97",5.064,-0.188,165.5,1.084,4.745,-0.211,163.4,1.085,4.025,-0.787,152.3,0.827
"1-Feb-97",3.495,0.416,177.1,0.764,3.096,0.137,162.5,0.637,2.575,-0.217,170.3,0.594
"1-Mar-97",3.523,-0.92,178.1,0.858,3.239,-1.037,155,0.763,2.364,-0.536,181.1,0.642
"1-Apr-97",2.019,-2.25,111,0.707,1.171,-2.352,112.5,0.731,2.152,-1.435,123.2,0.57
"1-May-97",3.266,2.67,110.9,0.408,2.818,2.373,109.6,0.385,2.794,1.321,108.9,0.42
"1-Jun-97",0.708,-0.246,77.2,0.34,1.065,0.391,71.1,0.231,-0.25,0.041,70.1,0.314
"1-Jul-97",2.099,1.516,76,0.234,1.893,1.537,72.5,0.226,1.022,1.259,78.2,0.25
"1-Aug-97",0.871,0.699,76.3,0.225,0.735,1.271,75.1,0.222,0.694,0.612,62.3,0.227
"1-Sep-97",1.527,0.697,79.8,0.313,1.528,0.901,77.7,0.305,1.112,0.03,77.1,0.335
"1-Oct-97",1.292,-2.266,111.8,0.502,1.731,-1.333,100.2,0.389,0.774,-1.459,102.9,0.423
"1-Nov-97",2.242,-1.231,146,0.731,1.297,-1.756,143.8,0.702,2.234,-1.592,145.5,0.678
"1-Dec-97",3.649,-1.599,135.8,0.859,3.481,-1.637,109.5,0.776,3.326,-2.218,127,0.722
"1-Jan-98",0.885,-1.283,172.1,0.792,0.27,-2.278,180.4,0.763,0.86,-1.29,148.5,0.69
"1-Feb-98",0.708,-2.997,121,0.719,-0.434,-3.071,112.4,0.631,-0.727,-2.937,142.4,0.755
"1-Mar-98",2.231,0.88,147.5,0.561,1.247,0.142,142.9,0.54,1.675,0.443,145.4,0.525
"1-Apr-98",1.389,-0.435,110.9,0.474,0.949,-0.832,87.2,0.355,1.235,-0.047,113.1,0.38
"1-May-98",0.611,0.771,84,0.332,-0.517,0.69,85.8,0.288,-0.345,-0.141,88.8,0.321
"1-Jun-98",1.342,1.872,77.7,0.332,0.583,1.759,80.5,0.335,1.417,1.219,92.6,0.27
