COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
ATLANTIC HAGFISH,1,159772,150,MYXINE GLUTINOSA,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,Other
ATLANTIC HALIBUT,101,172933,159,HIPPOGLOSSUS HIPPOGLOSSUS,NEFMC,Piscivore,Piscivore Others,AtlHalibut,Piscivore,NA,NA,NA,Groundfish
ATLANTIC HERRING,32,161722,168,CLUPEA HARENGUS,NEFMC,Mesoplanktivore,NA,AtlHerring,Planktivore,S,10,Planktivores,Forage Fish
ATLANTIC HERRING,32,161722,168,CLUPEA HARENGUS,NEFMC,Mesoplanktivore,NA,AtlHerring,Planktivore,M,21,Planktivores,Forage Fish
ATLANTIC MACKEREL,121,172414,212,SCOMBER SCOMBRUS,MAFMC,Mesoplanktivore,NA,AtlMackerel,Planktivore,S,10,Planktivores,Forage Fish
ATLANTIC MACKEREL,121,172414,212,SCOMBER SCOMBRUS,MAFMC,Mesoplanktivore,NA,AtlMackerel,Planktivore,M,21,Planktivores,Forage Fish
ATLANTIC MACKEREL,121,172414,212,SCOMBER SCOMBRUS,MAFMC,Mesoplanktivore,NA,AtlMackerel,Planktivore,L,36,Planktivores,Forage Fish
ATLANTIC MIDSHIPMAN,444,164421,NA,PORICHTHYS PLECTRODON,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
ATLANTIC MOONFISH,132,168684,NA,SELENE SETAPINNIS,NA,Other,NA,SmPelagics,Other,NA,NA,NA,NA
ATLANTIC NEEDLEFISH,471,165551,19,STRONGYLURA MARINA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
ATLANTIC POMFRET,585,170290,NA,BRAMA BRAMA,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
