Species,EPU,sex,YEAR,MeanCond,nCond,n
Mackerel,GOM,F,1992,105.92936838614713,8,21
Mackerel,GOM,F,1993,105.28938088089582,3,21
Mackerel,GOM,F,1994,108.86712916644233,5,21
Mackerel,GOM,F,1998,106.53089939262817,22,21
Mackerel,GOM,F,2000,94.13277945300726,4,21
Mackerel,GOM,F,2001,103.16021072512697,11,21
Mackerel,GOM,F,2002,105.75983878444664,11,21
Mackerel,GOM,F,2004,103.29352696032491,4,21
Mackerel,GOM,F,2005,103.21612119908559,10,21
Mackerel,GOM,F,2006,100.95087948207463,5,21
Mackerel,GOM,F,2007,100.05970731219465,8,21
Mackerel,GOM,F,2008,100.6247067229313,5,21
Mackerel,GOM,F,2009,103.33997037054841,10,21
Mackerel,GOM,F,2010,101.60501944874446,56,21
Mackerel,GOM,F,2011,105.24353959510886,19,21
Mackerel,GOM,F,2012,103.74128445871061,16,21
Mackerel,GOM,F,2013,103.9516020617864,13,21
Mackerel,GOM,F,2014,105.90980108438303,32,21
Mackerel,GOM,F,2015,104.23887831179341,43,21
Mackerel,GOM,F,2016,104.77374426995065,33,21
Mackerel,GOM,F,2018,101.61503200816833,42,21
Mackerel,GOM,M,1992,106.751463880111,11,20
Mackerel,GOM,M,1993,109.48110022969827,4,20
Mackerel,GOM,M,1994,104.65236794027491,8,20
Mackerel,GOM,M,1998,104.73738576585046,8,20
Mackerel,GOM,M,2000,98.70469120604253,4,20
Mackerel,GOM,M,2001,103.51357408237878,5,20
Mackerel,GOM,M,2002,108.63500136038488,8,20
Mackerel,GOM,M,2004,104.5280754987024,7,20
Mackerel,GOM,M,2005,100.20503106236846,3,20
Mackerel,GOM,M,2006,105.06146286887848,5,20
Mackerel,GOM,M,2007,104.53623988368557,4,20
Mackerel,GOM,M,2009,107.73710564072636,6,20
Mackerel,GOM,M,2010,102.02104063685519,29,20
Mackerel,GOM,M,2011,106.54247124739175,20,20
Mackerel,GOM,M,2012,103.73406166454072,18,20
Mackerel,GOM,M,2013,104.66235280765586,7,20
Mackerel,GOM,M,2014,106.11618888379626,16,20
Mackerel,GOM,M,2015,105.25600954116418,33,20
Mackerel,GOM,M,2016,105.51481071899475,12,20
Mackerel,GOM,M,2018,103.43963439742943,21,20
Ocean Pout,GOM,F,1992,100.13950935766111,14,25
Ocean Pout,GOM,F,1993,101.15384090181124,23,25
Ocean Pout,GOM,F,1994,95.812307308263,19,25
Ocean Pout,GOM,F,1995,96.20413078276233,20,25
Ocean Pout,GOM,F,1996,102.21041518094965,7,25
Ocean Pout,GOM,F,1997,97.37217683078927,5,25
Ocean Pout,GOM,F,1998,99.79911205091084,12,25
Ocean Pout,GOM,F,1999,99.8513443893005,3,25
Ocean Pout,GOM,F,2000,101.88896458665866,9,25
Ocean Pout,GOM,F,2001,100.09918554288195,10,25
Ocean Pout,GOM,F,2003,101.49884802747836,6,25
Ocean Pout,GOM,F,2004,101.2737466101957,6,25
Ocean Pout,GOM,F,2005,98.80780012130143,4,25
Ocean Pout,GOM,F,2006,101.4045552833876,7,25
Ocean Pout,GOM,F,2007,98.92562274650089,4,25
Ocean Pout,GOM,F,2008,104.87318996358111,7,25
Ocean Pout,GOM,F,2009,98.68657399635016,8,25
Ocean Pout,GOM,F,2010,103.94676048392272,4,25
Ocean Pout,GOM,F,2011,100.88135215972517,11,25
Ocean Pout,GOM,F,2012,101.47347636939251,19,25
Ocean Pout,GOM,F,2013,101.54982195186416,11,25
Ocean Pout,GOM,F,2014,98.72736950800987,13,25
Ocean Pout,GOM,F,2015,101.7390536418785,19,25
Ocean Pout,GOM,F,2016,98.13119900181862,23,25
Ocean Pout,GOM,F,2018,99.75892810461553,15,25
Ocean Pout,GOM,M,1992,103.30211281688482,22,21
Ocean Pout,GOM,M,1993,100.2144197482817,30,21
Ocean Pout,GOM,M,1994,100.49342026147905,15,21
Ocean Pout,GOM,M,1995,98.54112208830941,24,21
Ocean Pout,GOM,M,1996,101.99113838652734,6,21
Ocean Pout,GOM,M,1997,101.73228173963714,7,21
Ocean Pout,GOM,M,1998,99.28235027358352,17,21
Ocean Pout,GOM,M,1999,100.19332040116713,12,21
Ocean Pout,GOM,M,2000,98.6183780620819,5,21
Ocean Pout,GOM,M,2001,97.44852574835187,6,21
Ocean Pout,GOM,M,2005,93.81626786572875,3,21
Ocean Pout,GOM,M,2008,107.48983525561118,5,21
Ocean Pout,GOM,M,2009,100.00724266328555,3,21
Ocean Pout,GOM,M,2010,99.00297592435666,6,21
