Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2016,NEW YORK,SHORTFIN MAKO,1325,13.1,655,16.1,670,20.6,.,.
FINAL,2016,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,675,34.3,199,33.6,476,46.6,.,.
FINAL,2016,MASSACHUSETTS,SHORTFIN MAKO,226,30.9,97,49.2,129,39.6,.,.
FINAL,2016,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,90,58.7,20,100,71,69.7,.,.
FINAL,2017,VIRGINIA,SHORTFIN MAKO,49,48.9,30,53.2,19,93.9,.,.
FINAL,2017,MARYLAND/DELAWARE,SHORTFIN MAKO,281,19.3,103,29,178,25.4,.,.
FINAL,2017,SOUTH NEW JERSEY,SHORTFIN MAKO,499,22.3,301,27.5,199,37.4,.,.
FINAL,2017,NORTH NEW JERSEY,SHORTFIN MAKO,572,20.3,401,21.9,171,44.8,.,.
FINAL,2017,NEW YORK,SHORTFIN MAKO,2458,15.8,1267,19.1,1191,25.5,.,.
FINAL,2017,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,750,19.5,348,24.1,402,29.8,.,.
FINAL,2017,MASSACHUSETTS,SHORTFIN MAKO,103,42,26,59.4,77,52.5,.,.
FINAL,2017,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,135,50.6,.,.,135,50.6,.,.
FINAL,2018,VIRGINIA,SHORTFIN MAKO,39,64.3,.,.,39,64.3,.,.
FINAL,2018,MARYLAND/DELAWARE,SHORTFIN MAKO,374,25.7,.,.,374,25.7,.,.
FINAL,2018,SOUTH NEW JERSEY,SHORTFIN MAKO,532,30.8,.,.,532,30.8,.,.
FINAL,2018,NORTH NEW JERSEY,SHORTFIN MAKO,359,27.6,80,60.7,279,30.9,.,.
FINAL,2018,NEW YORK,SHORTFIN MAKO,1692,16.3,278,25.4,1414,18.9,.,.
FINAL,2018,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,1328,28.1,31,64,1297,28.7,.,.
FINAL,2018,MASSACHUSETTS,SHORTFIN MAKO,88,48.9,.,.,88,48.9,.,.
FINAL,2018,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,34,71.3,.,.,34,71.3,.,.
FINAL,2019,VIRGINIA,SHORTFIN MAKO,143,30.6,8,80.5,135,32,.,.
FINAL,2019,MARYLAND/DELAWARE,SHORTFIN MAKO,240,24.7,.,.,240,24.7,.,.
FINAL,2019,SOUTH NEW JERSEY,SHORTFIN MAKO,462,30.9,.,.,462,30.9,.,.
FINAL,2019,NORTH NEW JERSEY,SHORTFIN MAKO,439,29.9,64,70.1,375,32.9,.,.
FINAL,2019,NEW YORK,SHORTFIN MAKO,1535,19.4,177,32.2,1358,21.5,.,.
FINAL,2019,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,383,24.9,92,38.2,291,30.5,.,.
FINAL,2019,MASSACHUSETTS,SHORTFIN MAKO,218,44.4,10,100,208,46.3,.,.
FINAL,2019,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,32,100,.,.,32,100,.,.
FINAL,2020,VIRGINIA,SHORTFIN MAKO,101,44.3,.,.,101,44.3,.,.
FINAL,2020,MARYLAND/DELAWARE,SHORTFIN MAKO,301,34.8,23,100,278,36.7,.,.
FINAL,2020,SOUTH NEW JERSEY,SHORTFIN MAKO,208,43.6,.,.,208,43.6,.,.
FINAL,2020,NORTH NEW JERSEY,SHORTFIN MAKO,193,51.2,47,82.8,145,62.3,.,.
FINAL,2020,NEW YORK,SHORTFIN MAKO,2512,19.9,442,41.4,2070,22.5,.,.
FINAL,2020,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,365,28.9,19,100,346,30,.,.
FINAL,2020,MASSACHUSETTS,SHORTFIN MAKO,214,57.3,.,.,214,57.3,.,.
FINAL,2020,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,8,100,.,.,8,100,.,.
PRELIMINARY,2021,VIRGINIA,SHORTFIN MAKO,45,62.2,.,.,45,62.2,.,.
PRELIMINARY,2021,MARYLAND/DELAWARE,SHORTFIN MAKO,165,35.3,4,100,160,36.2,.,.
PRELIMINARY,2021,SOUTH NEW JERSEY,SHORTFIN MAKO,270,71.5,.,.,270,71.5,.,.
PRELIMINARY,2021,NORTH NEW JERSEY,SHORTFIN MAKO,517,47.6,64,82.8,453,53.1,.,.
PRELIMINARY,2021,NEW YORK,SHORTFIN MAKO,1792,19.8,255,29.8,1536,22.6,.,.
PRELIMINARY,2021,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,654,42.8,56,71.1,598,46.3,.,.
PRELIMINARY,2021,MASSACHUSETTS,SHORTFIN MAKO,73,70.7,.,.,73,70.7,.,.
PRELIMINARY,2021,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,241,59.3,67,100,174,72.5,.,.
