Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2020,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,712,40.6,68,82.9,644,44.1,.,.
PRELIMINARY,2021,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
PRELIMINARY,2021,MASSACHUSETTS,PORBEAGLE SHARK,484,56.1,40,100,444,60.5,.,.
PRELIMINARY,2021,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,507,41.6,92,78.1,416,47.8,.,.
FINAL,2002,VIRGINIA,DUSKY SHARK,42,100,.,.,42,100,.,.
FINAL,2002,MARYLAND/DELAWARE,DUSKY SHARK,26,57.9,9,100,17,71,.,.
FINAL,2002,SOUTH NEW JERSEY,DUSKY SHARK,184,77.4,.,.,184,77.4,.,.
FINAL,2002,NORTH NEW JERSEY,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2002,NEW YORK,DUSKY SHARK,5,100,.,.,5,100,.,.
FINAL,2002,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2002,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2002,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2003,VIRGINIA,DUSKY SHARK,34,100,.,.,34,100,.,.
FINAL,2003,MARYLAND/DELAWARE,DUSKY SHARK,243,39.4,.,.,243,39.4,.,.
FINAL,2003,SOUTH NEW JERSEY,DUSKY SHARK,255,55,.,.,255,55,.,.
FINAL,2003,NORTH NEW JERSEY,DUSKY SHARK,40,100,40,100,.,.,.,.
FINAL,2003,NEW YORK,DUSKY SHARK,193,100,.,.,193,100,.,.
FINAL,2003,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2003,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2003,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2004,VIRGINIA,DUSKY SHARK,3,100,.,.,3,100,.,.
FINAL,2004,MARYLAND/DELAWARE,DUSKY SHARK,673,37,.,.,673,37,.,.
FINAL,2004,SOUTH NEW JERSEY,DUSKY SHARK,112,80.5,.,.,112,80.5,.,.
FINAL,2004,NORTH NEW JERSEY,DUSKY SHARK,62,100,.,.,62,100,.,.
FINAL,2004,NEW YORK,DUSKY SHARK,698,86.7,.,.,698,86.7,.,.
FINAL,2004,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2004,MASSACHUSETTS,DUSKY SHARK,23,100,.,.,23,100,.,.
FINAL,2004,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2005,VIRGINIA,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2005,MARYLAND/DELAWARE,DUSKY SHARK,247,36.3,.,.,247,36.3,.,.
FINAL,2005,SOUTH NEW JERSEY,DUSKY SHARK,61,57.7,.,.,61,57.7,.,.
FINAL,2005,NORTH NEW JERSEY,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2005,NEW YORK,DUSKY SHARK,73,100,.,.,73,100,.,.
FINAL,2005,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2005,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2005,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2006,VIRGINIA,DUSKY SHARK,407,34,29,100,379,35.8,.,.
FINAL,2006,MARYLAND/DELAWARE,DUSKY SHARK,203,45.5,.,.,203,45.5,.,.
FINAL,2006,SOUTH NEW JERSEY,DUSKY SHARK,1366,76.9,53,100,1313,79.9,.,.
FINAL,2006,NORTH NEW JERSEY,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2006,NEW YORK,DUSKY SHARK,154,61.9,.,.,154,61.9,.,.
FINAL,2006,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,31,100,.,.,31,100,.,.
FINAL,2006,MASSACHUSETTS,DUSKY SHARK,78,100,.,.,78,100,.,.
FINAL,2006,NEW HAMPSHIRE/MAINE,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2007,VIRGINIA,DUSKY SHARK,31,62.8,14,100,18,80.1,.,.
FINAL,2007,MARYLAND/DELAWARE,DUSKY SHARK,353,39.4,29,68.7,324,42.5,.,.
FINAL,2007,SOUTH NEW JERSEY,DUSKY SHARK,428,27.1,.,.,428,27.1,.,.
FINAL,2007,NORTH NEW JERSEY,DUSKY SHARK,146,43.5,.,.,146,43.5,.,.
FINAL,2007,NEW YORK,DUSKY SHARK,60,85.1,.,.,60,85.1,.,.
FINAL,2007,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2007,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
FINAL,2007,NEW HAMPSHIRE/MAINE,DUSKY SHARK,16,100,.,.,16,100,.,.
FINAL,2008,VIRGINIA,DUSKY SHARK,89,51.9,.,.,89,51.9,.,.
FINAL,2008,MARYLAND/DELAWARE,DUSKY SHARK,488,29.1,.,.,488,29.1,.,.
FINAL,2008,SOUTH NEW JERSEY,DUSKY SHARK,674,26.3,.,.,674,26.3,.,.
FINAL,2008,NORTH NEW JERSEY,DUSKY SHARK,85,73.4,.,.,85,73.4,.,.
FINAL,2008,NEW YORK,DUSKY SHARK,42,61.7,10,100,32,75,.,.
FINAL,2008,CONNECTICUT/RHODE ISLAND,DUSKY SHARK,34,73.3,.,.,34,73.3,.,.
FINAL,2008,MASSACHUSETTS,DUSKY SHARK,.,.,.,.,.,.,.,.
